sequence,specialty,procedureNameEn,procedureNameAr,canonicalProcedureKey,aliases,anatomyRegion,illustrationType,figureLabsPrompt,imageFileName,imagePublicPath,certificatePath,imageReviewStatus,patientFacing,source,version,disclaimerEn,disclaimerAr,notes
1,Vascular Surgery,Abdominal Aortic Aneurysm,تمدد الشريان الأبهر البطني,abdominal-aortic-aneurysm,Abdominal Aortic Aneurysm | تمدد الشريان الأبهر البطني,Abdominal aorta and surrounding arteries,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Abdominal Aortic Aneurysm
Procedure (Arabic): تمدد الشريان الأبهر البطني
Specialty: Vascular Surgery
Anatomical region / focus: Abdominal aorta and surrounding arteries
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",abdominal-aortic-aneurysm_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/vascular-surgery/abdominal-aortic-aneurysm/abdominal-aortic-aneurysm_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/abdominal-aortic-aneurysm/abdominal-aortic-aneurysm_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
2,General Surgery / Other,Abdominoperineal Resection of Rectum,استئصال المستقيم بطريق البطن والعجان,abdominoperineal-resection-of-rectum,Abdominoperineal Resection of Rectum | استئصال المستقيم بطريق البطن والعجان,"Rectum, anus, perineum, and lower pelvis",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Abdominoperineal Resection of Rectum
Procedure (Arabic): استئصال المستقيم بطريق البطن والعجان
Specialty: General Surgery / Other
Anatomical region / focus: Rectum, anus, perineum, and lower pelvis
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",abdominoperineal-resection-of-rectum_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/abdominoperineal-resection-of-rectum/abdominoperineal-resection-of-rectum_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/abdominoperineal-resection-of-rectum/abdominoperineal-resection-of-rectum_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
3,General Surgery / Other,Abdominoplasty,شد البطن,abdominoplasty,Abdominoplasty | شد البطن,Abdominal wall and skin,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Abdominoplasty
Procedure (Arabic): شد البطن
Specialty: General Surgery / Other
Anatomical region / focus: Abdominal wall and skin
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",abdominoplasty_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/abdominoplasty/abdominoplasty_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/abdominoplasty/abdominoplasty_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
4,"Ear, Nose and Throat",Adenotonsillectomy,استئصال اللحمية واللوزتين,adenotonsillectomy,Adenotonsillectomy | استئصال اللحمية واللوزتين,"Oropharynx, tonsils, and adenoids",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Adenotonsillectomy
Procedure (Arabic): استئصال اللحمية واللوزتين
Specialty: Ear, Nose and Throat
Anatomical region / focus: Oropharynx, tonsils, and adenoids
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",adenotonsillectomy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ent/adenotonsillectomy/adenotonsillectomy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/adenotonsillectomy/adenotonsillectomy_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
5,Allergy & Immunology,Allergen Immunotherapy,العلاج المناعي للحساسية,allergen-immunotherapy,Allergen Immunotherapy | العلاج المناعي للحساسية,Upper arm subcutaneous injection site,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Allergen Immunotherapy
Procedure (Arabic): العلاج المناعي للحساسية
Specialty: Allergy & Immunology
Anatomical region / focus: Upper arm subcutaneous injection site
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",allergen-immunotherapy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/allergy-immunology/allergen-immunotherapy/allergen-immunotherapy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/allergen-immunotherapy/allergen-immunotherapy_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
6,Allergy & Immunology,Allergy Skin Test consent and informed,موافقة واختبار حساسية الجلد,allergy-skin-test-consent-and-informed,Allergy Skin Test consent and informed | موافقة واختبار حساسية الجلد,Forearm or back skin with test sites,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Allergy Skin Test consent and informed
Procedure (Arabic): موافقة واختبار حساسية الجلد
Specialty: Allergy & Immunology
Anatomical region / focus: Forearm or back skin with test sites
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",allergy-skin-test-consent-and-informed_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/allergy-immunology/allergy-skin-test-consent-and-informed/allergy-skin-test-consent-and-informed_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/allergy-skin-test-consent-and-informed/allergy-skin-test-consent-and-informed_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
7,Obstetrics & Gynecology,Amniocentesis Chorionic Villus Sampling,بزل السائل الأمنيوسي وأخذ عينة من الزغابات المشيمية,amniocentesis-chorionic-villus-sampling,Amniocentesis Chorionic Villus Sampling | بزل السائل الأمنيوسي وأخذ عينة من الزغابات المشيمية,"Uterus, placenta, and amniotic fluid",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Amniocentesis Chorionic Villus Sampling
Procedure (Arabic): بزل السائل الأمنيوسي وأخذ عينة من الزغابات المشيمية
Specialty: Obstetrics & Gynecology
Anatomical region / focus: Uterus, placenta, and amniotic fluid
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",amniocentesis-chorionic-villus-sampling_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/obstetrics-gynecology/amniocentesis-chorionic-villus-sampling/amniocentesis-chorionic-villus-sampling_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/amniocentesis-chorionic-villus-sampling/amniocentesis-chorionic-villus-sampling_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
8,General Surgery / Other,Amputation,البتر,amputation,Amputation | البتر,Affected limb and amputation level,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Amputation
Procedure (Arabic): البتر
Specialty: General Surgery / Other
Anatomical region / focus: Affected limb and amputation level
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",amputation_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/amputation/amputation_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/amputation/amputation_figurelabs_authorization_certificate_v1.pdf,pending_clinical_review,false,ChatGPT,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Draft clinical education illustration generated using ChatGPT; requires clinical and Arabic translation review before patient-facing activation.
9,Anesthesia / Pain / Critical Care,Anesthesia - Patient Consent,موافقة المريض على التخدير,anesthesia-patient-consent,Anesthesia - Patient Consent | موافقة المريض على التخدير,"Airway, lungs, and anesthesia monitoring setup",process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Anesthesia - Patient Consent
Procedure (Arabic): موافقة المريض على التخدير
Specialty: Anesthesia / Pain / Critical Care
Anatomical region / focus: Airway, lungs, and anesthesia monitoring setup
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",anesthesia-patient-consent_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/anesthesia/anesthesia-patient-consent/anesthesia-patient-consent_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/anesthesia-patient-consent/anesthesia-patient-consent_figurelabs_authorization_certificate_v1.pdf,approved,true,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Image integrated from FigureLabs separated package; authorization certificate pending.
10,Radiology / Interventional Radiology,Angiogram and Plasty Stenting,تصوير الأوعية الدموية ووضع الدعامة,angiogram-and-plasty-stenting,Angiogram and Plasty Stenting | تصوير الأوعية الدموية ووضع الدعامة,Arterial tree and catheter access site,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Angiogram and Plasty Stenting
Procedure (Arabic): تصوير الأوعية الدموية ووضع الدعامة
Specialty: Radiology / Interventional Radiology
Anatomical region / focus: Arterial tree and catheter access site
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",angiogram-and-plasty-stenting_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/radiology/angiogram-and-plasty-stenting/angiogram-and-plasty-stenting_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/angiogram-and-plasty-stenting/angiogram-and-plasty-stenting_figurelabs_authorization_certificate_v1.pdf,approved,true,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Image integrated from FigureLabs separated package; authorization certificate pending.
